District,Population,Population density,District square,address for Nominatim,location,point
  Метрогородок , 39024 , 1415.45 , 27. 57 ,"  Метрогородок ,  ВАО ","Метрогородок, Москва, Восточный административный округ, Москва, Центральный федеральный округ, 107143, Россия","(55.8249036, 37.756955, 0.0)"
 Мещанский , 61213 , 13307.17 , 4. 60 ," Мещанский ,  ЦАО ","Мещанский район, Центральный административный округ, Москва, Центральный федеральный округ, Россия","(55.779172, 37.6279886, 0.0)"
 Митино , 194965 , 15387.92 , 12. 67 ," Митино ,  СЗАО ","Митино, Митинская улица, район Митино, Северо-Западный административный округ, Москва, Центральный федеральный округ, 123430, Россия","(55.8457543, 37.3622259, 0.0)"
  Можайский , 138610 , 12917.99 , 10. 73 ,"  Можайский ,  ЗАО ","Можайский, Москва, Западный административный округ, Москва, Центральный федеральный округ, 121451, Россия","(55.7167137, 37.4148645, 0.0)"
 Молжаниновский , 12194 , 559.87 , 21. 78 ," Молжаниновский ,  САО ","Молжаниновский, Москва, Северный административный округ, Москва, Центральный федеральный округ, 141408, Россия","(55.9367237, 37.3769255, 0.0)"
 Москворечье-Сабурово , 80673 , 8674.52 , 9. 30 ," Москворечье-Сабурово ,  ЮАО ","Москворечье-Сабурово, Москва, Южный административный округ, Москва, Центральный федеральный округ, 115409, Россия","(55.6428651, 37.6703469, 0.0)"
  Нагатино-Садовники , 83496 , 10219.83 , 8. 17 ,"  Нагатино-Садовники ,  ЮАО ","Нагатино-Садовники, Москва, Южный административный округ, Москва, Центральный федеральный округ, 109652, Россия","(55.6746117, 37.6454806, 0.0)"
  Нагатинский Затон , 120954 , 12342.24 , 9. 80 ,"  Нагатинский Затон ,  ЮАО ","Нагатинский Затон, район Нагатинский Затон, Южный административный округ, Москва, Центральный федеральный округ, 115142, Россия","(55.6823482, 37.705917, 0.0)"
  Нагорный , 81731 , 15079.52 , 5. 42 ,"  Нагорный ,  ЮАО ","Нагорный, Москва, Южный административный округ, Москва, Центральный федеральный округ, 115230, Россия","(55.6703681, 37.6163609, 0.0)"
 Некрасовка , 71943 , 12893.01 , 5. 58 ," Некрасовка ,  ЮВАО ","Некрасовка, Юго-Восточный административный округ, Москва, Центральный федеральный округ, 140009, Россия","(55.6841084, 37.922905, 0.0)"
